RegionName,City,State,Metro,CountyName,SizeRank,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016
30101,Acworth,GA,Atlanta,Cobb,49,,,,,,,,,,,,,,,,,,,,,,1462.5,1400,1425,1400,1412.5,1400,1425,1595,1462.5,1482.5,1495,1500,1550,1525,1525,1450,1500,1500,1500,1487,1600,1500,1495,1525,1572.5,1595,1472.5,1575,1496,1429,1550,1600,1585,1595,1600,1572.5,1600,1595,1582.5,1600,1647.5,1600,1595,1525,1582,1600,1595,1650,1500
2135,Boston,MA,Boston,Suffolk,50,,2600,2600,2587.5,2600,2550,2500,2500,2500,2550,2600,2700,2725,2700,2650,2650,2700,2800,2700,2700,2650,2800,2800,2800,2800,2800,2900,2950,2950,3000,3000,3000,3000,3000,2950,2950,2950,2982.5,3000,3000,3100,3100,3000,3100,3100,3200,3149.5,3200,3200,3200,3199,3200,3200,3200,3100,3100,3100,3050,3000,3050,3100,3200,3200,3200,3300,3300,3340,3300,3200,3200
28540,Jacksonville,NC,Jacksonville,Onslow,51,,,,,1200,1175,1175,1125,1117.5,1085,990,990,1042.5,1000,995,1100,1225,1300,1297,1250,1200,1150,1075,1075,1050,1025,1050,1050,1100,1100,1200,1100,1100,1090,1100,1092.5,1150,1100,1085,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200,1142.5,1150,1195,1250,1275,1250,1225,1200,1162.5,1100,1092.5,1050,1050,1085,1095,1095,1200,1200,1250,1175,1097.5
89147,Las Vegas,NV,Las Vegas,Clark,52,,,,,,,,,,,,,,1300,1300,1300,1350,1350,1350,1350,1350,1350,1300,1300,1300,1300,1325,1350,1495,1450,1397.5,1300,1300,1375,1385,1395,1395,1375,1400,1400,1400,1400,1420,1432.5,1375,1450,1450,1395,1395,1485,1425,1400,1450,1467.5,1450,1485,1496.5,1350,1400,1400,1395,1407.5,1500,1625,1535,1495,1600,1530,1395,1400
28546,Jacksonville,NC,Jacksonville,Onslow,53,,,,1250,1250,1200,1250,1250,1300,1300,1297.5,1250,1200,1195,1195,1175,1200,1250,1250,1250,1200,1221,1225,1200,1150,1150,1160,1167.5,1185,1250,1200,1200,1195,1175,1195,1125,1100,1100,1095,1095,1100,1200,1200,1200,1200,1200,1150,1100,1100,1100,1100,1100,1150,1195,1175,1137.5,1100,1100,1100,1100,1100,1150,1100,1112.5,1200,1250,1185,1150,1212.5,1100
75025,Plano,TX,Dallas-Fort Worth,Collin,54,,,,,,,,,,,,,,,,,,,,,,1850,1825,1800,1775,1705,1800,1800,1895,1925,1970,1900,1900,1950,1950,1995,2050,1995,1950,1950,1950,1972.5,1995,2095,2097.5,1995,1995,1999,1995,1950,1995,2000,2095,2000,2100,2150,2200,2100,2147.5,2100,2072,1999.5,2072.5,2000,2000,2100,2125,2150,2200,2150
92563,Murrieta,CA,Riverside,Riverside,55,,,,,,,,1872.5,1972.5,1895,1895,1897.5,1950,1950,1900,1900,1900,1900,1900,1850,1850,1850,1850,1897,1897,1900,1895,1895,1895,1900,1900,1900,1900,1900,1900,1900,1895,1899,1895,1875,1895,1962.5,1925,1907.5,1950,1995,1975,1945,1937.5,1950,1950,1928,1998,2000,2000,2095,1999.5,1995,1995,2097.5,2000,1995,2000,2000,1995,2050,2100,2000,2100,2195
92880,Eastvale,CA,Riverside,Riverside,56,,,,,,,,,,,,,,2300,2300,2300,2350,2300,2300,2300,2300,2300,2272.5,2300,2300,2300,2300,2300,2300,2280,2250,2297.5,2300,2300,2350,2300,2300,2300,2300,2300,2300,2300,2300,2350,2337.5,2300,2345,2300,2300,2300,2300,2300,2350,2325,2400,2400,2400,2400,2400,2400,2400,2400,2400,2450,2450,2400,2450,2500,2500,2325
77375,Tomball,TX,Houston,Harris,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,1800,1800,1800,1800,1700,1800,1895,1800,1797.5,1750,1787.5,1725,1725,1787.5,1950,1895,1775,1787.5,1850,1925,1800,1815,1857.5,1900,2000,1972.5,1922.5,1900,1850,1748.5
22554,Stafford,VA,Washington,Stafford,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1950,2025,2100,2100,2100,2075,2100,2000,1975,1975,1987.5,2060,2100,2100,2100,2100,2150,2100,2150,2050,2050,2025,2050,2150,2200,2200,2200,2200,2150,2025,2000,2000,2050,2100,2100,2150,2200,2100,2200,2122.5,2200,2100
